Equipo,Plan,Plan_Tarifario,PRECIO_CONTADO_EQUIPO,PRECIO_ONLINE_EQUIPO,CANTIDAD_CUOTA,CUOTA_INICIAL,PRECIO_CUOTA
Apple iPhone 14 128GB,CUOTA,99.9,,,18,1999,150
Apple iPhone 14 128GB,CONTADO,159.9,,,,3599,
Apple iPhone 14 128GB,CUOTA,159.9,,,12,2259,208
Apple iPhone 14 128GB,CUOTA,159.9,,,18,1999,150
Vivo V21,CONTADO,41.9,2376,1639,dto.,31%,
Vivo V21,CONTADO,55.9,2376,1639,dto.,31%,
Vivo V21,CUOTA,55.9,,,12,0,212
Vivo V21,CUOTA,55.9,,,18,469,77
Vivo V21,CONTADO,65.9,2376,1639,dto.,31%,
Vivo V21,CUOTA,65.9,,,12,0,212
Vivo V21,CONTADO,99.9,2376,1639,dto.,31%,
Vivo V21,CUOTA,99.9,,,12,0,212
Vivo V21,CUOTA,99.9,,,18,249,76
Vivo V21,CONTADO,159.9,2376,1639,dto.,31%,
Vivo V21,CUOTA,159.9,,,12,0,212
Vivo V21,CUOTA,159.9,,,18,159,76
Apple iPhone 13 Pro 256GB,CONTADO,41.9,7275,4749,dto.,35%,
Apple iPhone 13 Pro 256GB,CONTADO,55.9,7275,4749,dto.,35%,
Apple iPhone 13 Pro 256GB,CONTADO,65.9,7275,4749,dto.,35%,
Apple iPhone 13 Pro 256GB,CONTADO,99.9,7275,4629,dto.,35%,
Apple iPhone 13 Pro 256GB,CONTADO,159.9,7275,4629,dto.,35%,
Apple iPhone 14 512GB,CONTADO,41.9,,,,5109,
Apple iPhone 14 512GB,CONTADO,55.9,,,,4959,
Apple iPhone 14 512GB,CUOTA,55.9,,,12,3069,282
Apple iPhone 14 512GB,CONTADO,65.9,,,,4959,
Apple iPhone 14 512GB,CUOTA,65.9,,,12,3069,282
Apple iPhone 14 512GB,CONTADO,99.9,,,,4959,
Apple iPhone 14 512GB,CUOTA,99.9,,,12,3069,282
Apple iPhone 14 512GB,CUOTA,99.9,,,18,2749,225
Apple iPhone 14 512GB,CONTADO,159.9,,,,4959,
Apple iPhone 14 512GB,CUOTA,159.9,,,12,3069,282
Apple iPhone 14 512GB,CUOTA,159.9,,,18,2749,225
Apple iPhone 14 Plus 256GB,CONTADO,41.9,,,,4469,
Apple iPhone 14 Plus 256GB,CONTADO,55.9,,,,4469,
Apple iPhone 14 Plus 256GB,CUOTA,55.9,,,12,2679,248
Apple iPhone 14 Plus 256GB,CONTADO,65.9,,,,4469,
Apple iPhone 14 Plus 256GB,CUOTA,65.9,,,12,2679,248
Apple iPhone 14 Plus 256GB,CONTADO,99.9,,,,4469,
Apple iPhone 14 Plus 256GB,CUOTA,99.9,,,12,2679,248
Apple iPhone 14 Plus 256GB,CUOTA,99.9,,,18,2499,204
Apple iPhone 14 Plus 256GB,CONTADO,159.9,,,,4469,
Apple iPhone 14 Plus 256GB,CUOTA,159.9,,,12,2679,248
Apple iPhone 14 Plus 256GB,CUOTA,159.9,,,18,2499,204
Apple iPhone 14 Pro 256GB,CONTADO,41.9,,,,5189,
Apple iPhone 14 Pro 256GB,CONTADO,55.9,,,,4959,
Apple iPhone 14 Pro 256GB,CUOTA,55.9,,,12,3109,287
Apple iPhone 14 Pro 256GB,CONTADO,65.9,,,,4959,
Apple iPhone 14 Pro 256GB,CUOTA,65.9,,,12,3109,287
Apple iPhone 14 Pro 256GB,CONTADO,99.9,,,,4959,
Apple iPhone 14 Pro 256GB,CUOTA,99.9,,,12,3109,287
Apple iPhone 14 Pro 256GB,CUOTA,99.9,,,18,2749,225
Apple iPhone 14 Pro 256GB,CONTADO,159.9,,,,4959,
Apple iPhone 14 Pro 256GB,CUOTA,159.9,,,12,3109,287
Apple iPhone 14 Pro 256GB,CUOTA,159.9,,,18,2749,225
Apple iPhone 14 Pro Max 256GB,CONTADO,41.9,,,,5789,
Apple iPhone 14 Pro Max 256GB,CONTADO,55.9,,,,5789,
Apple iPhone 14 Pro Max 256GB,CUOTA,55.9,,,12,3479,320
Apple iPhone 14 Pro Max 256GB,CONTADO,65.9,,,,5789,
