General,Equipo,Plan,Plan_Tarifario,Modo_Cobro,Contado_CuotaInicial,ContadoOnline_CantidadCuota,ContadoOnline,CantidadCuota,ContadoOnline_CantidadCuota_v2
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179|74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy S21 FE 128GB,CONTADO,74.9,,,3780 2179,3780,2179,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 12 CUOTAS DE: 318|74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy S21 FE 128GB,CUOTA,74.9,,,,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 18 CUOTAS DE: 260|74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy S21 FE 128GB,CUOTA,74.9,,,,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179|89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy S21 FE 128GB,CONTADO,89.9,,,3780 2179,3780,2179,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 12 CUOTAS DE: 302|89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy S21 FE 128GB,CUOTA,89.9,,,,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 18 CUOTAS DE: 247|89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy S21 FE 128GB,CUOTA,89.9,,,,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179|99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy S21 FE 128GB,CONTADO,99.9,,,3780 2179,3780,2179,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 12 CUOTAS DE: 302|99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy S21 FE 128GB,CUOTA,99.9,,,,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 18 CUOTAS DE: 247|99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy S21 FE 128GB,CUOTA,99.9,,,,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179|109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy S21 FE 128GB,CONTADO,109.9,,,3780 2179,3780,2179,
