General,Plan,Plan_Tarifario,Tipo,Equipo,Modo_Cobro,Contado_CuotaInicial,ContadoOnline_CantidadCuota
"Oppo A54|CUOTA|S/ 0 18 CUOTAS DE: 69 |159.5 Dto. por 12 meses, luego 127.60 127.60",CUOTA,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 679 |209.5 Dto. por 12 meses, luego 167.50 167.50",CONTADO,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Oppo A54,,,EXCLUSIVO ONLINE 882 679 
"Oppo A54|CUOTA|S/ 414 12 CUOTAS DE: 69 |209.5 Dto. por 12 meses, luego 167.50 167.50",CUOTA,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Oppo A54,,,
"Oppo A54|CUOTA|S/ 0 18 CUOTAS DE: 69 |209.5 Dto. por 12 meses, luego 167.50 167.50",CUOTA,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Oppo A54,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2479 |39.9 Dto. por 12 meses, luego 31.95 31.95",CONTADO,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2479 
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2479 |55.9 Dto. por 12 meses, luego 44.75 44.75",CONTADO,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2479 
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 12 CUOTAS DE: 321 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 18 CUOTAS DE: 263 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179 |74.9 Dto. por 12 meses, luego 59.95 59.95",CONTADO,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2179 
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 12 CUOTAS DE: 318 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 18 CUOTAS DE: 260 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy S21 FE 128GB,,,
